Background,Bag Type,Greens,Proteins,Drink,Snack,Fruits,Carbs
Blue,Brown,Egg Plant,A5 Wagyu,Milk,Safron,Peach,Rice
Black,"Plastic (maybe no plastic, cause we wanna promote save the earth)",Cucumber,Chicken,Juice,White Truffle of Alba,Red Apple,Instant Noodles
White,Canvas,Cabbage,Tuna,Coca Cola,Almas Caviar,Orange,Korean Spicy Noodle
Red,Cotton,Long Bean,Shrimp,Pepsi,Potato chips,Green Apple,French Fries
Yellow,,Asparagus,Crab,Soy Milk,Chocolate bars,Strawberries,Cup Noodles
Green,,Brocolli,Mutton,Bottled water,Tofu,Blueberries,Sourdough bread
Purple,,Potato,Salami,7up,Fish Roe,Lemon,French Bread
,,Artichoke,Pork loin,Beer,Frozen fruit slice,Durian,
,,Carrot,Fugu,Wine,Eggs,Mango,
,,Raddish,Acorn-fed Iberian Ham,MIlo,Shitake Mushrooms,Avocado,
,,Spinach,Beef,Champagne,Matsutake Mushroom,Densuke Black Watermelon,
,,Lettuce,Salmon,,Peanut Butter,Yubari Melon,
,,Beansprouts,lobster,,,Black Thorn Durian,
,,Cauliflower,,,,Grapes,
,,Pumpkin,,,,Tomatoe,
,,Red Bell Peppers,,,,Pineapple,
,,Green Bell Peppers,,,,Banana,
