ItemName,ItemType,Rarity,Positioning
Blue,Background,1,
Brown,BagType,1,
Egg Plant,Greens,1,
A5 Wagyu,Proteins,4,-2
Milk,Drink,2,0
Safron,Snack,3,
Peach,Fruits,2,
Rice,Carbs,1,
Black,Background,1,
"Plastic",BagType,1,
Cucumber,Greens,1,
Chicken,Proteins,2,
Juice,Drink,2,2
White Truffle of Alba,Snack,4,
Red Apple,Fruits,2,
Instant Noodles,Carbs,1,
White,Background,1,
Canvas,BagType,3,
Cabbage,Greens,1,
Tuna,Proteins,2,
Coca Cola,Drink,1,
Almas Caviar,Snack,3,
Orange,Fruits,2,
Korean Spicy Noodle,Carbs,2,
Red,Background,1,
Cotton,BagType,3,
Long Bean,Greens,1,
Shrimp,Proteins,3,
Pepsi,Drink,1,2
Potato chips,Snack,1,
Green Apple,Fruits,1,
French Fries,Carbs,1,
Yellow,Background,1,
Asparagus,Greens,1,
Crab,Proteins,3,
Soy Milk,Drink,2,
Chocolate bars,Snack,2,
Strawberries,Fruits,3,
Cup Noodles,Carbs,1,
Green,Background,1,
Brocolli,Greens,1,
Mutton,Proteins,3,
Bottled water,Drink,1,
Tofu,Snack,1,
Blueberries,Fruits,3,
Sourdough bread,Carbs,2,
Purple,Background,3,
Potato,Greens,1,
Salami,Proteins,3,
7up,Drink,1,
Fish Roe,Snack,4,
Lemon,Fruits,1,
French Bread,Carbs,2,
Artichoke,Greens,1,
Pork loin,Proteins,2,
Beer,Drink,2,
Frozen fruit slice,Snack,2,
Durian,Fruits,4,
Carrot,Greens,1,
Fugu,Proteins,3,
Wine,Drink,3,
Eggs,Snack,1,
Mango,Fruits,2,
Raddish,Greens,1,
Acorn-fed Iberian Ham,Proteins,4,
MIlo,Drink,1,
Shitake Mushrooms,Snack,2,
Avocado,Fruits,2,
Spinach,Greens,1,
Beef,Proteins,3,
Champagne,Drink,3,
Matsutake Mushroom,Snack,2,
Densuke Black Watermelon,Fruits,3,
Lettuce,Greens,1,
Salmon,Proteins,3,
Peanut Butter,Snack,2,
Yubari Melon,Fruits,3,
Beansprouts,Greens,1,
lobster,Proteins,4,
Black Thorn Durian,Fruits,4,
Cauliflower,Greens,1,
Grapes,Fruits,2,
Pumpkin,Greens,1,
Tomatoe,Fruits,1,
Red Bell Peppers,Greens,1,
Pineapple,Fruits,2,
Green Bell Peppers,Greens,1,
Banana,Fruits,1,
